age,sleep,tv,social_media,spotify,starbucks_dunkin,coffee_tea,still_sparkling,pineapple_on_pizza,hotdog_sandwich,intelligent_life
18,5,4,6,The Weeknd,Starbucks,Coffee,Still,2,2,4
17,6,0,37,Billie Eilish,Starbucks,Tea,Still,3,2,4
19,6,15,35,Billie Eilish,Dunkin,Coffee,Still,1,5,5
20,7,5,3,The Weeknd,Starbucks,Tea,Still,4,1,3
19,8,10,20,Taylor Swift,Starbucks,Coffee,Still,5,1,5
20,7,5,12,Bad Bunny,Starbucks,Tea,Still,3,1,5
18,5,18,12,The Weeknd,Starbucks,Tea,Still,3,3,3
18,7,5,21,Taylor Swift,Starbucks,Coffee,Sparkling,2,2,5
19,7,6,12,The Weeknd,Starbucks,Coffee,Sparkling,3,4,4
18,6,2,3,The Weeknd,Starbucks,Coffee,Still,4,1,4
18,7,2,24,Billie Eilish,Starbucks,Tea,Still,2,2,4
18,9,5,15,Billie Eilish,Starbucks,Tea,Still,1,5,3
20,4,2,21,The Weeknd,Dunkin,Tea,Still,3,3,4
20,7,7,14,Bad Bunny,Starbucks,Tea,Still,4,1,5
18,7,0,4,Drake,Dunkin,Tea,Still,1,3,4
20,7,2,15,Bad Bunny,Dunkin,Coffee,Still,3,2,3
21,8,5,4,The Weeknd,Starbucks,Tea,Sparkling,1,3,5
20,9,4,10,Billie Eilish,Starbucks,Coffee,Sparkling,3,1,3
18,5.5,1,2.5,Taylor Swift,Starbucks,Tea,Still,3,2,4
22,6,0,35,Drake,Dunkin,Coffee,Still,1,1,2
21,7,9,10,Taylor Swift,Starbucks,Coffee,Still,1,1,4
20,8,5,5,Taylor Swift,Dunkin,Coffee,Sparkling,1,1,4
21,8,2,10,Billie Eilish,Starbucks,Tea,Still,2,2,5
19,7,8,15,Taylor Swift,Dunkin,Coffee,Sparkling,3,3,2
24,7.5,0,2.5,Billie Eilish,Starbucks,Tea,Still,5,3,4
19,7,6,12,Taylor Swift,Starbucks,Coffee,Still,1,1,3
21,6,21,7,Drake,Dunkin,Tea,Still,1,3,5
18,9,5,11,Drake,Dunkin,Tea,Still,4,2,5
18,6,2,8,Drake,Dunkin,Coffee,Still,1,3,4
19,7,10,7,Taylor Swift,Dunkin,Coffee,Still,1,2,4
18,8,0,15,Billie Eilish,Starbucks,Coffee,Still,3,4,3
18,6,0,20,The Weeknd,Starbucks,Tea,Still,1,5,4
18,6.65,19,3,Billie Eilish,Starbucks,Tea,Still,3,4,4
18,7,2,4,The Weeknd,Starbucks,Coffee,Still,4,2,4
19,7,7,10,The Weeknd,Starbucks,Coffee,Still,4,5,5
25,8,21,14,Bad Bunny,Starbucks,Coffee,Still,5,3,5
19,8,1,3,The Weeknd,Dunkin,Tea,Still,2,1,4
23,7,10,10,The Weeknd,Dunkin,Tea,Sparkling,1,5,5
17,8,5,10,The Weeknd,Starbucks,Coffee,Still,5,5,5